gender,orientation,gender_orientation,age,ethnicity,country,education_phase,religion_type,religion_seriosity,man_with_100,woman_with_100
Woman,Straight,Hetero_female,22,NA,Australia,NA,Other,NA,No,No
Man,Straight,Hetero_male,33,White,UK,Dropped out of,Agnosticism,NA,No,No
Man,Straight,Hetero_male,21,Hispanic / Latin,NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,25,NA,Australia,Working on,Christianity,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,28,White,Netherlands,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,26,White,NY,NA,Other,NA,No,No
Man,Straight,Hetero_male,30,"Asian, White",CA,Graduated from,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,26,White,Sweden,Graduated from,Other,but not too serious about it,No,No
Woman,Straight,Hetero_female,30,White,UK,Dropped out of,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,24,"Middle Eastern, White",Australia,Dropped out of,-,NA,No,No
Man,Straight,Hetero_male,28,White,NY,Graduated from,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,24,White,Netherlands,NA,-,NA,No,No
Woman,Straight,Hetero_female,23,White,UK,Working on,Agnosticism,NA,No,No
Man,Straight,Hetero_male,23,White,Denmark,Working on,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,27,NA,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,32,White,Sweden,NA,-,NA,No,No
Woman,Bisexual,Bisexual_female,45,"Asian, Other",NY,Graduated from,Other,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,26,NA,UK,Graduated from,Atheism,NA,No,No
Woman,Gay,Gay_female,27,White,Denmark,NA,-,NA,No,No
Man,Straight,Hetero_male,28,White,NY,Graduated from,Atheism,NA,No,No
Woman,Straight,Hetero_female,29,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,32,White,NY,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,27,"Black, Other",LA,Graduated from,Christianity,and very serious about it,No,No
Man,Straight,Hetero_male,26,White,Sweden,Dropped out of,-,NA,Yes,Yes
Man,Straight,Hetero_male,26,White,UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,30,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,37,NA,NY,NA,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,24,White,UK,Graduated from,Agnosticism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,24,White,NY,Working on,-,NA,No,No
Woman,Straight,Hetero_female,22,White,UK,Working on,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,26,Black,NY,Working on,Agnosticism,NA,Yes,Yes
Woman,Straight,Hetero_female,39,White,NY,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,29,Hispanic / Latin,NY,NA,-,NA,Yes,Yes
Man,Straight,Hetero_male,34,NA,Denmark,NA,-,NA,No,No
Man,Straight,Hetero_male,25,White,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,28,White,Ireland,Graduated from,Other,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,19,White,NY,Working on,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,33,Black,UK,NA,-,NA,No,No
Man,Gay,Gay_male,22,White,NY,Working on,-,NA,No,No
Woman,Straight,Hetero_female,29,White,Netherlands,Graduated from,Atheism,NA,No,No
Man,Bisexual,Bisexual_male,30,White,UK,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,35,White,NY,NA,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,22,White,NY,Working on,Judaism,but not too serious about it,No,No
Woman,Straight,Hetero_female,30,Other,LA,NA,-,NA,No,No
Woman,Bisexual,Bisexual_female,28,Other,NY,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,29,White,NY,Graduated from,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,31,White,Germany,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,32,White,UK,NA,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,22,White,LA,Working on,Agnosticism,NA,No,No
Woman,Bisexual,Bisexual_female,19,White,LA,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Gay,Gay_male,22,White,Denmark,Graduated from,Christianity,and laughing about it,No,No
Woman,Straight,Hetero_female,28,White,Netherlands,Graduated from,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,38,White,UK,NA,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,27,NA,Denmark,NA,-,NA,No,No
Man,Straight,Hetero_male,27,White,UK,NA,Catholicism,but not too serious about it,No,No
Man,Gay,Gay_male,25,White,NY,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,24,White,UK,NA,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,41,NA,NY,Graduated from,Atheism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,25,NA,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,29,NA,NY,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,27,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,24,White,NY,Graduated from,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,21,NA,NY,Working on,-,NA,No,No
Woman,Straight,Hetero_female,21,White,UK,Graduated from,Atheism,and laughing about it,Yes,Yes
Man,Straight,Hetero_male,23,Hispanic / Latin,UK,Graduated from,Other,but not too serious about it,No,Yes
Woman,Bisexual,Bisexual_female,23,White,UK,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,27,Indian,NY,Graduated from,Agnosticism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,19,"Asian, White",NY,Working on,-,NA,No,No
Woman,Bisexual,Bisexual_female,28,White,British Columbia,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,31,Indian,NJ,Graduated from,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,21,White,UK,Working on,Atheism,NA,No,No
Woman,Straight,Hetero_female,25,NA,Netherlands,NA,-,NA,No,No
Woman,Straight,Hetero_female,23,White,NY,Working on,Atheism,NA,No,No
Woman,Straight,Hetero_female,24,White,UK,Working on,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,30,White,Australia,Graduated from,Atheism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,21,White,UK,Working on,Other,NA,No,No
Woman,Bisexual,Bisexual_female,21,White,UK,NA,-,NA,No,No
Woman,Straight,Hetero_female,21,NA,Australia,Working on,Other,but not too serious about it,Yes,Yes
Woman,Straight,Hetero_female,21,Asian,Australia,Working on,Atheism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,30,White,Australia,NA,Atheism,and very serious about it,No,No
Woman,Straight,Hetero_female,22,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,44,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,27,White,NY,NA,-,NA,No,No
Man,Straight,Hetero_male,28,White,Denmark,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,27,White,LA,Graduated from,Christianity,but not too serious about it,No,No
Woman,Gay,Gay_female,29,Other,UK,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,30,White,Denmark,Graduated from,Agnosticism,and very serious about it,No,No
Woman,Bisexual,Bisexual_female,22,Other,NJ,Working on,Other,and laughing about it,No,No
Man,Gay,Gay_male,35,White,NY,Graduated from,Atheism,but not too serious about it,No,No
Man,Bisexual,Bisexual_male,23,White,UK,Working on,-,NA,No,No
Woman,Bisexual,Bisexual_female,30,White,Australia,Graduated from,Atheism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,25,White,UK,Graduated from,Christianity,NA,No,No
Man,Straight,Hetero_male,23,Indian,UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,30,White,UK,Graduated from,Other,and laughing about it,No,No
Man,Gay,Gay_male,33,White,Denmark,NA,-,NA,No,No
Woman,Straight,Hetero_female,19,NA,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,23,White,UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,27,White,ME,Working on,Christianity,but not too serious about it,No,No
Woman,Straight,Hetero_female,20,White,UK,Working on,Atheism,NA,No,No
Man,Straight,Hetero_male,24,"Asian, Indian",NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,29,White,Italy,Graduated from,Catholicism,NA,No,No
Woman,Bisexual,Bisexual_female,22,Other,UK,Working on,Buddhism,but not too serious about it,No,No
Man,Straight,Hetero_male,22,White,Sweden,NA,-,NA,No,No
Man,Straight,Hetero_male,35,White,NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,25,White,UK,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,29,"White, Other",UK,Graduated from,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,24,White,LA,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,34,"Black, White",NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,26,NA,NY,Graduated from,Agnosticism,NA,No,No
Woman,Bisexual,Bisexual_female,22,White,UK,Working on,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,41,White,NY,NA,Judaism,but not too serious about it,No,No
Man,Straight,Hetero_male,28,Black,NY,Graduated from,Christianity,and somewhat serious about it,No,No
Man,Straight,Hetero_male,31,White,Denmark,Working on,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,27,White,NY,Graduated from,Judaism,but not too serious about it,No,No
Woman,Straight,Hetero_female,28,White,Netherlands,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,25,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,20,White,NY,Working on,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,31,White,UK,NA,-,NA,No,No
Woman,Straight,Hetero_female,27,Asian,Singapore,Graduated from,Buddhism,and somewhat serious about it,Yes,Yes
Woman,Straight,Hetero_female,29,White,Ireland,Graduated from,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,26,White,Australia,Graduated from,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,19,"Black, White",NY,Working on,-,NA,No,No
Woman,Bisexual,Bisexual_female,31,White,Australia,NA,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,28,NA,Singapore,NA,-,NA,No,No
Man,Straight,Hetero_male,19,NA,UK,NA,-,NA,No,No
Woman,Straight,Hetero_female,29,NA,UK,Graduated from,Other,and laughing about it,No,No
Woman,Straight,Hetero_female,24,NA,UK,NA,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,21,Hispanic / Latin,Sweden,Working on,Christianity,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,23,White,Australia,Working on,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,30,Middle Eastern,Ireland,Graduated from,Atheism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,32,NA,UK,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,20,White,Denmark,Working on,Atheism,NA,No,No
Man,Straight,Hetero_male,26,White,UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,25,Other,Denmark,Working on,Other,and laughing about it,No,No
Woman,Straight,Hetero_female,25,White,Australia,Working on,Other,and laughing about it,No,No
Woman,Straight,Hetero_female,23,White,Netherlands,Graduated from,Other,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,27,White,Netherlands,NA,Other,NA,No,No
Woman,Straight,Hetero_female,33,White,Australia,Graduated from,Other,NA,No,No
Woman,Straight,Hetero_female,26,White,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,22,White,UK,Graduated from,Atheism,and very serious about it,Yes,Yes
Man,Straight,Hetero_male,20,"Middle Eastern, White",UK,Working on,-,NA,No,No
Woman,Bisexual,Bisexual_female,25,White,NY,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,24,White,Denmark,NA,Atheism,but not too serious about it,No,No
Man,Bisexual,Bisexual_male,21,"Middle Eastern, White",UK,Working on,Atheism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,20,Hispanic / Latin,NY,Working on,Catholicism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,27,Hispanic / Latin,TX,NA,Agnosticism,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,19,"Asian, Black, Other",LA,Working on,Agnosticism,NA,No,No
Man,Straight,Hetero_male,26,White,UK,NA,Atheism,NA,No,No
Man,Straight,Hetero_male,24,NA,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,35,"Hispanic / Latin, Other",UK,Graduated from,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,28,NA,NY,NA,-,NA,No,No
Man,Gay,Gay_male,24,White,UK,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,27,White,UK,NA,-,NA,No,No
Woman,Straight,Hetero_female,30,White,Australia,Working on,Atheism,but not too serious about it,No,No
Man,Straight,Hetero_male,24,White,UK,Graduated from,Atheism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,23,White,Australia,Dropped out of,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,20,White,UK,Working on,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,46,White,Italy,Graduated from,Agnosticism,NA,No,No
Woman,Bisexual,Bisexual_female,39,Other,UK,Graduated from,Judaism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,19,White,Netherlands,Working on,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,18,White,UK,NA,Atheism,NA,No,No
Woman,Straight,Hetero_female,19,Asian,UK,Working on,Islam,NA,No,Yes
Woman,Gay,Gay_female,20,Other,NY,Working on,-,NA,No,No
Man,Straight,Hetero_male,26,Pacific Islander,UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,34,"Middle Eastern, Hispanic / Latin, White, Other",NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,28,Middle Eastern,Denmark,Working on,Other,NA,No,No
Woman,Straight,Hetero_female,24,Black,MS,Dropped out of,Islam,and laughing about it,No,No
Woman,Straight,Hetero_female,21,White,UK,Graduated from,Christianity,but not too serious about it,No,No
Woman,Straight,Hetero_female,26,Asian,NJ,NA,-,NA,Yes,Yes
Woman,Bisexual,Bisexual_female,18,White,UK,NA,-,NA,No,No
Man,Straight,Hetero_male,27,White,NY,Graduated from,Judaism,but not too serious about it,No,No
Woman,Straight,Hetero_female,27,White,LA,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,21,White,UK,Working on,Atheism,but not too serious about it,No,No
Woman,Straight,Hetero_female,18,White,PA,Working on,-,NA,No,No
Woman,Straight,Hetero_female,25,White,NY,Graduated from,Christianity,NA,No,No
Woman,Straight,Hetero_female,40,White,Australia,Graduated from,Agnosticism,and laughing about it,No,No
Man,Straight,Hetero_male,25,"Hispanic / Latin, White",Denmark,NA,Atheism,but not too serious about it,No,No
Man,Straight,Hetero_male,26,White,UK,NA,-,NA,No,No
Woman,Straight,Hetero_female,24,White,LA,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,22,"Asian, Pacific Islander",NY,Graduated from,Judaism,NA,No,No
Man,Straight,Hetero_male,26,"Asian, White",UK,Graduated from,Agnosticism,NA,Yes,Yes
Woman,Straight,Hetero_female,27,NA,Australia,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,24,Asian,NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,25,Asian,LA,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,23,"Black, Native American, Hispanic / Latin",NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,28,White,UK,Graduated from,Atheism,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,36,White,NY,Graduated from,Agnosticism,NA,No,No
Woman,Bisexual,Bisexual_female,28,White,Australia,Dropped out of,Other,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,24,NA,Sweden,Graduated from,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,28,White,NY,Graduated from,Judaism,but not too serious about it,Yes,Yes
Woman,Straight,Hetero_female,23,White,LA,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,46,NA,Germany,Graduated from,Atheism,NA,No,No
Woman,Straight,Hetero_female,27,White,UK,Graduated from,Catholicism,but not too serious about it,No,No
Man,Straight,Hetero_male,23,NA,UK,NA,Agnosticism,NA,No,No
Man,Straight,Hetero_male,36,White,UK,Graduated from,Agnosticism,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,19,White,UK,Graduated from,Atheism,NA,No,No
Woman,Bisexual,Bisexual_female,29,"Hispanic / Latin, White",LA,Dropped out of,-,NA,No,No
Man,Straight,Hetero_male,34,White,NY,Graduated from,Judaism,but not too serious about it,No,No
Woman,Straight,Hetero_female,25,Black,NY,Working on,Agnosticism,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,26,"White, Other",Norway,Working on,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,23,White,Netherlands,Working on,-,NA,Yes,Yes
Woman,Straight,Hetero_female,21,"Asian, White",UK,Working on,-,NA,No,No
Woman,Straight,Hetero_female,31,White,Australia,NA,Atheism,NA,No,No
Woman,Straight,Hetero_female,27,White,UK,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,24,White,UK,Graduated from,Atheism,and very serious about it,No,No
Woman,Straight,Hetero_female,22,White,UK,Working on,-,NA,No,No
Woman,Straight,Hetero_female,31,Hispanic / Latin,DC,Working on,Catholicism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,20,"Hispanic / Latin, White",Netherlands,NA,-,NA,No,No
Man,Straight,Hetero_male,28,White,UK,Graduated from,Other,but not too serious about it,No,Yes
Woman,Straight,Hetero_female,26,NA,Ireland,NA,-,NA,No,No
Woman,Bisexual,Bisexual_female,20,Hispanic / Latin,LA,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,31,White,NY,Working on,-,NA,No,No
Woman,Straight,Hetero_female,29,White,NY,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,25,White,UK,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,29,Hispanic / Latin,NY,NA,-,NA,No,No
Man,Straight,Hetero_male,26,White,NJ,Graduated from,-,NA,No,No
Man,Gay,Gay_male,28,White,NY,Graduated from,Judaism,NA,No,No
Man,Straight,Hetero_male,25,White,UK,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,26,White,NY,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,27,White,Netherlands,Graduated from,Other,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,20,White,Australia,Working on,Other,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,20,"Asian, White",Australia,Working on,Atheism,NA,No,No
Woman,Gay,Gay_female,22,White,NY,Working on,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,33,White,UK,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,18,White,Denmark,Dropped out of,Atheism,but not too serious about it,No,No
Woman,Straight,Hetero_female,27,White,UK,Graduated from,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,29,White,Sweden,Working on,Atheism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,46,White,NY,Graduated from,Catholicism,but not too serious about it,No,No
Woman,Straight,Hetero_female,33,White,Australia,Graduated from,Atheism,NA,No,No
Woman,Straight,Hetero_female,30,Indian,UK,Graduated from,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,28,White,NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,21,NA,UK,Working on,Atheism,NA,No,No
Woman,Straight,Hetero_female,26,"Indian, Other",UK,NA,Christianity,NA,No,No
Woman,Straight,Hetero_female,25,White,Netherlands,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,26,White,LA,Working on,-,NA,No,No
Woman,Straight,Hetero_female,26,NA,Belgium,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,21,NA,Denmark,NA,Agnosticism,NA,No,No
Woman,Bisexual,Bisexual_female,34,White,UK,NA,Atheism,NA,No,No
Woman,Straight,Hetero_female,37,White,Italy,Graduated from,-,NA,No,No
Woman,Bisexual,Bisexual_female,24,White,UK,Graduated from,Atheism,and very serious about it,No,No
Woman,Straight,Hetero_female,30,NA,Germany,Working on,Atheism,NA,No,No
Man,Straight,Hetero_male,26,White,UK,NA,Catholicism,NA,No,No
Man,Straight,Hetero_male,24,Hispanic / Latin,NY,Graduated from,Christianity,NA,No,No
Man,Straight,Hetero_male,21,"Black, Indian",NY,NA,Christianity,and somewhat serious about it,No,No
Man,Bisexual,Bisexual_male,37,White,NY,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,39,NA,UK,Graduated from,Agnosticism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,24,"Asian, White",Australia,Graduated from,Agnosticism,NA,No,No
Man,Straight,Hetero_male,25,White,NY,Working on,Catholicism,NA,No,No
Man,Straight,Hetero_male,25,Asian,NY,Working on,Agnosticism,NA,No,No
Man,Straight,Hetero_male,40,Asian,Philippines,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,25,NA,NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,28,White,LA,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,30,White,NY,Graduated from,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,29,NA,Netherlands,Dropped out of,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,23,NA,NY,NA,-,NA,No,No
Man,Straight,Hetero_male,28,White,NY,Graduated from,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,31,White,UK,NA,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,28,Hispanic / Latin,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,21,White,Australia,Working on,-,NA,No,No
Woman,Bisexual,Bisexual_female,18,"Black, White, Other",UK,NA,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,26,White,LA,Working on,Other,and somewhat serious about it,Yes,Yes
Woman,Bisexual,Bisexual_female,24,White,Australia,Working on,Other,and laughing about it,No,No
Man,Straight,Hetero_male,25,White,Denmark,Graduated from,Atheism,NA,Yes,Yes
Man,Straight,Hetero_male,20,Hispanic / Latin,NY,Graduated from,Catholicism,NA,No,Yes
Woman,Straight,Hetero_female,31,Asian,Singapore,Graduated from,Christianity,NA,No,No
Woman,Straight,Hetero_female,24,White,LA,NA,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,22,White,NY,Graduated from,Agnosticism,and very serious about it,No,No
Woman,Straight,Hetero_female,23,Hispanic / Latin,TX,Working on,Catholicism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,34,"Asian, Indian",UK,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,25,White,Denmark,Working on,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,36,White,UK,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,39,White,Denmark,Graduated from,Other,NA,No,No
Man,Straight,Hetero_male,25,White,UK,Working on,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,37,White,NY,Graduated from,Atheism,NA,No,No
Woman,Straight,Hetero_female,38,White,Italy,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,18,White,Denmark,Working on,Christianity,and laughing about it,No,No
Woman,Straight,Hetero_female,19,White,Netherlands,Working on,Other,and laughing about it,No,No
Man,Straight,Hetero_male,21,White,Denmark,Graduated from,Agnosticism,but not too serious about it,No,No
Woman,Straight,Hetero_female,20,White,LA,Working on,Catholicism,NA,No,No
Woman,Bisexual,Bisexual_female,24,White,Netherlands,Working on,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,27,White,NY,Graduated from,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,32,Other,UK,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,22,White,LA,NA,-,NA,No,No
Woman,Straight,Hetero_female,25,White,LA,NA,-,NA,No,No
Man,Straight,Hetero_male,26,Indian,NJ,Graduated from,Hinduism,NA,No,No
Woman,Straight,Hetero_female,27,White,UK,Graduated from,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,35,White,NY,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,34,White,KY,Graduated from,Christianity,but not too serious about it,No,No
Man,Straight,Hetero_male,23,White,NY,Working on,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,29,White,Ireland,Graduated from,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,24,Asian,Australia,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,28,White,NY,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,21,Asian,UK,Working on,-,NA,No,No
Woman,Straight,Hetero_female,24,Black,LA,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,29,NA,UK,Graduated from,Atheism,but not too serious about it,No,No
Man,Gay,Gay_male,23,White,UK,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,22,White,UK,Graduated from,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,33,NA,NY,Working on,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,25,White,UK,Graduated from,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,24,White,UK,Dropped out of,Agnosticism,NA,No,No
Man,Straight,Hetero_male,43,White,UK,NA,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,36,"Black, White",NY,Graduated from,Other,NA,No,No
Man,Bisexual,Bisexual_male,18,Hispanic / Latin,FL,Working on,Atheism,but not too serious about it,No,No
Man,Straight,Hetero_male,25,White,Denmark,Working on,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,30,White,UK,NA,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,29,White,NY,NA,Atheism,NA,No,No
Man,Straight,Hetero_male,28,"White, Other",UK,Graduated from,Atheism,and somewhat serious about it,No,No
Woman,Bisexual,Bisexual_female,25,White,Netherlands,NA,Agnosticism,NA,No,No
Man,Straight,Hetero_male,22,"White, Other",UK,NA,Catholicism,NA,No,No
Woman,Bisexual,Bisexual_female,22,NA,UK,NA,-,NA,No,No
Woman,Straight,Hetero_female,28,Indian,UK,Graduated from,Atheism,NA,Yes,No
Woman,Straight,Hetero_female,24,White,Australia,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,29,White,NJ,Graduated from,Judaism,but not too serious about it,No,No
Woman,Straight,Hetero_female,26,NA,NY,NA,Judaism,NA,No,No
Man,Straight,Hetero_male,19,Middle Eastern,NY,Working on,Judaism,NA,No,No
Woman,Bisexual,Bisexual_female,20,"Middle Eastern, White",UK,Working on,Agnosticism,and laughing about it,No,No
Woman,Straight,Hetero_female,27,Asian,Singapore,Graduated from,Christianity,NA,Yes,Yes
Woman,Straight,Hetero_female,29,White,Ireland,NA,Atheism,and laughing about it,Yes,Yes
Woman,Bisexual,Bisexual_female,22,White,Australia,Graduated from,Agnosticism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,24,Asian,NY,Graduated from,-,NA,Yes,Yes
Woman,Straight,Hetero_female,28,White,Australia,Working on,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,30,White,NY,Graduated from,Judaism,NA,No,No
Woman,Gay,Gay_female,18,Black,NY,Working on,-,NA,No,No
Woman,Straight,Hetero_female,25,White,Ireland,Graduated from,Atheism,NA,Yes,Yes
